example_no,example_file,side,signal_family,entry_time,exit_time,range_height_atr,gross_r,net_pnl,selection_score
1,breakout-example-001.png,short,bull_failed_breakout,2022-01-11 06:15,2022-01-11 06:25,3.197623,0.503428,9.441347,0.889014
2,breakout-example-002.png,short,bear_followthrough,2022-01-17 15:00,2022-01-17 17:30,2.638598,1.8,132.651344,0.89243
3,breakout-example-003.png,long,bear_failed_breakout,2022-01-25 01:45,2022-01-25 02:45,4.461272,1.3,69.024748,0.932762
4,breakout-example-004.png,long,bull_followthrough,2022-02-12 16:25,2022-02-12 19:25,2.733039,1.222713,172.297453,0.964713
5,breakout-example-005.png,long,bull_followthrough,2022-03-07 12:00,2022-03-07 13:10,3.40298,1.8,116.916841,0.983661
6,breakout-example-006.png,short,bear_followthrough,2022-03-10 04:25,2022-03-10 07:25,2.647378,0.905887,110.171899,0.784855
7,breakout-example-007.png,long,bear_failed_breakout,2022-04-07 21:35,2022-04-07 22:20,3.679318,0.223083,14.835112,0.948395
8,breakout-example-008.png,short,bull_failed_breakout,2022-04-13 00:25,2022-04-13 01:05,4.043042,1.267855,44.588822,0.933136
9,breakout-example-009.png,long,bull_followthrough,2022-05-17 21:40,2022-05-18 00:05,4.134098,1.8,136.211712,1.058914
10,breakout-example-010.png,short,bear_followthrough,2022-05-23 18:55,2022-05-23 19:40,2.33554,1.8,208.888521,0.784585
11,breakout-example-011.png,short,bear_followthrough,2022-05-27 14:40,2022-05-27 17:15,2.905205,1.8,228.350134,0.973148
12,breakout-example-012.png,long,bull_followthrough,2022-06-02 20:20,2022-06-02 22:05,3.807188,3.033247,118.23435,0.727518
13,breakout-example-013.png,short,bull_failed_breakout,2022-06-10 12:25,2022-06-10 12:30,2.985991,0.984872,22.766193,0.900602
14,breakout-example-014.png,long,bear_failed_breakout,2022-06-20 05:35,2022-06-20 05:55,4.048808,1.241291,93.794016,0.863429
15,breakout-example-015.png,short,bull_failed_breakout,2022-08-09 07:25,2022-08-09 08:10,3.331853,0.479621,25.673766,0.871179
16,breakout-example-016.png,short,bull_failed_breakout,2022-09-03 06:05,2022-09-03 06:15,3.020512,0.359132,9.598348,0.910125
17,breakout-example-017.png,short,bear_followthrough,2022-09-04 06:25,2022-09-04 06:45,2.525202,1.8,40.009704,0.903719
18,breakout-example-018.png,short,bear_followthrough,2022-09-27 16:05,2022-09-27 16:35,3.5752,1.8,163.429613,0.976808
19,breakout-example-019.png,long,bear_failed_breakout,2022-09-29 01:05,2022-09-29 01:15,2.268626,0.292553,18.142805,0.915234
20,breakout-example-020.png,short,bull_failed_breakout,2022-11-03 21:50,2022-11-03 21:55,2.390671,-1.0,-15.48309,0.864129
21,breakout-example-021.png,long,bull_followthrough,2022-11-10 12:10,2022-11-10 13:30,2.718912,1.8,368.202927,0.880589
22,breakout-example-022.png,long,bear_failed_breakout,2022-12-26 18:15,2022-12-26 19:10,3.37791,0.651316,5.431298,0.839099
23,breakout-example-023.png,long,bull_followthrough,2023-01-11 18:05,2023-01-11 21:05,2.855574,0.252148,19.075065,0.893637
24,breakout-example-024.png,short,bull_failed_breakout,2023-02-10 23:40,2023-02-11 00:05,2.837852,1.3,25.408019,0.835049
25,breakout-example-025.png,short,bear_followthrough,2023-02-24 15:50,2023-02-24 16:00,4.616905,1.8,162.547591,0.968444
26,breakout-example-026.png,short,bull_failed_breakout,2023-04-01 16:30,2023-04-01 16:50,3.03524,1.008515,13.115046,0.897538
27,breakout-example-027.png,long,bear_failed_breakout,2023-04-15 06:45,2023-04-15 07:00,2.941916,0.705369,3.786866,0.843678
28,breakout-example-028.png,long,bull_followthrough,2023-04-20 12:30,2023-04-20 15:30,3.292094,-0.460792,-56.57128,0.836665
29,breakout-example-029.png,long,bull_followthrough,2023-04-26 08:25,2023-04-26 09:30,3.879888,1.8,84.180072,0.898991
30,breakout-example-030.png,long,bear_failed_breakout,2023-05-13 11:55,2023-05-13 12:05,2.798635,-1.0,-13.013927,0.905675
31,breakout-example-031.png,short,bull_failed_breakout,2023-05-16 17:05,2023-05-16 17:10,2.269683,0.107673,-0.784948,0.693479
32,breakout-example-032.png,short,bull_failed_breakout,2023-05-18 14:35,2023-05-18 14:40,2.836672,0.835678,14.76718,0.909166
33,breakout-example-033.png,short,bear_followthrough,2023-06-11 22:35,2023-06-12 01:35,4.744562,0.845635,41.156401,0.998329
34,breakout-example-034.png,long,bear_failed_breakout,2023-06-17 04:10,2023-06-17 04:15,4.224049,0.967857,3.885684,1.014803
35,breakout-example-035.png,long,bull_followthrough,2023-06-20 16:40,2023-06-20 17:45,5.380884,1.8,108.856206,1.010098
36,breakout-example-036.png,long,bear_failed_breakout,2023-07-28 20:15,2023-07-28 20:20,4.022294,1.3,1.083271,1.052446
37,breakout-example-037.png,short,bear_followthrough,2023-08-15 04:55,2023-08-15 06:00,4.991213,-1.0,-8.49541,0.869526
38,breakout-example-038.png,short,bull_failed_breakout,2023-08-26 03:30,2023-08-26 03:40,3.476718,0.200812,-1.700717,1.033169
39,breakout-example-039.png,long,bull_followthrough,2023-10-14 15:40,2023-10-14 15:55,4.131507,1.8,19.21044,0.886099
40,breakout-example-040.png,short,bull_failed_breakout,2023-11-06 04:05,2023-11-06 04:10,3.30328,0.078559,-1.851827,0.984565
41,breakout-example-041.png,short,bear_followthrough,2023-11-19 00:55,2023-11-19 02:15,2.991114,1.8,42.663154,0.852682
42,breakout-example-042.png,long,bear_failed_breakout,2023-11-25 18:20,2023-11-25 18:30,2.81704,0.929089,5.534241,0.909678
43,breakout-example-043.png,long,bear_failed_breakout,2023-11-26 04:25,2023-11-26 04:30,2.680203,0.046346,-3.246085,0.975882
44,breakout-example-044.png,short,bull_failed_breakout,2023-12-06 10:35,2023-12-06 10:45,2.428904,0.722107,17.074737,0.839609
45,breakout-example-045.png,long,bull_followthrough,2023-12-09 05:00,2023-12-09 06:50,4.036435,1.8,41.823056,0.760209
46,breakout-example-046.png,long,bull_followthrough,2024-01-01 18:05,2024-01-01 20:00,3.067729,1.8,79.742551,0.891185
47,breakout-example-047.png,long,bull_followthrough,2024-02-03 00:20,2024-02-03 01:20,2.630631,1.8,55.53914,0.924306
48,breakout-example-048.png,short,bear_followthrough,2024-02-04 19:00,2024-02-04 19:05,4.27231,1.8,52.759469,0.832788
49,breakout-example-049.png,short,bull_failed_breakout,2024-03-07 11:10,2024-03-07 11:15,3.028326,0.939661,25.546024,0.942632
50,breakout-example-050.png,long,bear_failed_breakout,2024-03-07 21:55,2024-03-07 22:10,4.555837,1.3,45.124861,0.6813
51,breakout-example-051.png,short,bull_failed_breakout,2024-03-19 13:00,2024-03-19 13:35,4.940847,-1.0,-83.834654,0.752701
52,breakout-example-052.png,short,bear_followthrough,2024-04-04 02:20,2024-04-04 02:25,3.328632,1.8,81.582896,0.848601
53,breakout-example-053.png,long,bear_failed_breakout,2024-04-06 13:35,2024-04-06 14:15,3.709425,0.64295,12.525098,0.825145
54,breakout-example-054.png,long,bull_followthrough,2024-04-08 07:30,2024-04-08 08:10,3.264755,1.8,103.576506,0.892178
55,breakout-example-055.png,long,bull_followthrough,2024-04-29 22:25,2024-04-29 23:05,3.744024,1.8,88.586227,0.976483
56,breakout-example-056.png,short,bull_failed_breakout,2024-05-05 13:25,2024-05-05 13:30,2.262305,0.350577,11.598499,0.772195
57,breakout-example-057.png,long,bear_failed_breakout,2024-05-10 05:30,2024-05-10 05:35,3.040621,0.044227,-2.806433,0.915865
58,breakout-example-058.png,short,bull_failed_breakout,2024-06-09 11:45,2024-06-09 12:10,4.092903,-1.0,-16.307445,0.895239
59,breakout-example-059.png,long,bear_failed_breakout,2024-06-16 21:50,2024-06-16 22:00,3.014493,0.450777,6.484077,0.846986
60,breakout-example-060.png,long,bull_followthrough,2024-06-20 04:35,2024-06-20 07:15,2.631271,1.8,79.082338,0.888435
61,breakout-example-061.png,short,bear_followthrough,2024-06-22 07:10,2024-06-22 08:05,2.714183,1.8,32.543743,0.864928
62,breakout-example-062.png,short,bull_failed_breakout,2024-06-29 01:45,2024-06-29 02:45,3.891492,1.14689,16.718448,0.981897
63,breakout-example-063.png,long,bear_failed_breakout,2024-07-05 20:45,2024-07-05 21:15,4.469179,1.048423,30.037821,0.93319
64,breakout-example-064.png,long,bull_followthrough,2024-08-23 05:10,2024-08-23 06:05,2.45944,1.8,103.904458,0.856069
65,breakout-example-065.png,short,bear_followthrough,2024-08-27 10:20,2024-08-27 13:20,3.707906,0.82492,83.950057,0.843362
66,breakout-example-066.png,long,bear_failed_breakout,2024-09-29 13:05,2024-09-29 13:10,3.192164,0.844548,14.349734,0.995053
67,breakout-example-067.png,short,bull_failed_breakout,2024-10-05 13:00,2024-10-05 13:10,2.722037,-1.0,-16.555216,0.733627
68,breakout-example-068.png,short,bear_followthrough,2024-10-11 22:05,2024-10-11 23:45,2.961401,1.8,43.844859,0.88025
69,breakout-example-069.png,long,bull_followthrough,2024-10-18 01:25,2024-10-18 04:25,2.835561,-0.054533,-7.741009,0.856989
70,breakout-example-070.png,long,bear_failed_breakout,2024-10-20 06:05,2024-10-20 06:15,3.557214,0.038644,-3.193545,0.929643
71,breakout-example-071.png,short,bear_followthrough,2024-11-03 01:15,2024-11-03 02:10,3.674541,1.8,52.834903,0.817083
72,breakout-example-072.png,long,bull_followthrough,2024-11-16 03:25,2024-11-16 04:00,4.216353,1.8,93.094207,0.920399
73,breakout-example-073.png,short,bull_failed_breakout,2024-12-08 07:45,2024-12-08 08:00,4.464645,1.3,9.09584,0.923167
74,breakout-example-074.png,short,bear_followthrough,2024-12-14 17:35,2024-12-14 20:35,3.236641,0.889757,42.819938,0.830482
75,breakout-example-075.png,long,bear_failed_breakout,2024-12-18 15:10,2024-12-18 15:15,3.54669,0.12887,4.364375,0.921
76,breakout-example-076.png,short,bear_followthrough,2025-01-19 08:25,2025-01-19 09:05,3.439252,1.8,149.151794,0.930438
77,breakout-example-077.png,long,bull_followthrough,2025-01-19 12:50,2025-01-19 13:55,3.534847,3.568669,161.712345,0.93363
78,breakout-example-078.png,short,bull_failed_breakout,2025-03-03 13:50,2025-03-03 14:15,2.85811,0.638053,39.194535,0.822002
79,breakout-example-079.png,short,bear_followthrough,2025-03-26 02:10,2025-03-26 05:10,3.249775,0.603305,27.4993,0.845377
80,breakout-example-080.png,long,bull_followthrough,2025-04-09 17:30,2025-04-09 20:30,2.933915,0.76474,419.724493,0.843533
81,breakout-example-081.png,long,bear_failed_breakout,2025-04-11 01:05,2025-04-11 01:15,2.533072,0.461147,33.674522,0.762653
82,breakout-example-082.png,long,bear_failed_breakout,2025-04-27 20:30,2025-04-27 20:45,3.266238,1.3,10.406837,0.909124
83,breakout-example-083.png,short,bear_followthrough,2025-05-12 14:25,2025-05-12 17:25,2.462523,0.33747,61.771162,0.865319
84,breakout-example-084.png,short,bear_followthrough,2025-05-17 00:15,2025-05-17 03:15,3.506075,0.841504,103.040893,0.927388
85,breakout-example-085.png,short,bull_failed_breakout,2025-06-14 13:15,2025-06-14 13:30,2.6698,0.181169,3.812213,0.814239
86,breakout-example-086.png,short,bear_followthrough,2025-07-12 12:15,2025-07-12 12:40,3.744175,1.8,67.535491,0.929803
87,breakout-example-087.png,long,bull_followthrough,2025-08-10 00:40,2025-08-10 00:50,2.82479,1.8,68.752603,0.847429
88,breakout-example-088.png,long,bear_failed_breakout,2025-08-23 08:30,2025-08-23 08:45,3.870166,1.27506,30.373357,0.864488
89,breakout-example-089.png,long,bear_failed_breakout,2025-09-24 10:30,2025-09-24 10:55,3.24838,0.48014,7.026298,0.893581
90,breakout-example-090.png,short,bull_failed_breakout,2025-09-25 22:25,2025-09-25 22:35,2.756106,0.573169,28.229517,0.858717
91,breakout-example-091.png,long,bull_followthrough,2025-10-08 16:55,2025-10-08 17:25,2.890711,1.8,112.373931,0.847658
92,breakout-example-092.png,short,bull_failed_breakout,2025-10-20 23:05,2025-10-20 23:10,3.2514,0.23509,2.531033,0.946416
93,breakout-example-093.png,short,bear_followthrough,2025-11-03 01:00,2025-11-03 02:25,4.623293,2.321959,103.089244,0.957799
94,breakout-example-094.png,long,bull_followthrough,2025-11-05 12:25,2025-11-05 13:15,5.439716,-1.0,-88.808634,0.698585
95,breakout-example-095.png,long,bear_failed_breakout,2025-11-15 04:50,2025-11-15 05:10,3.771537,-1.0,-37.527509,0.903629
96,breakout-example-096.png,short,bear_followthrough,2025-11-30 23:35,2025-12-01 00:05,3.383403,1.8,131.225385,0.955605
97,breakout-example-097.png,short,bull_failed_breakout,2025-12-14 19:00,2025-12-14 19:50,3.176743,1.191957,28.951818,0.981987
98,breakout-example-098.png,long,bear_failed_breakout,2025-12-21 06:00,2025-12-21 06:10,3.263757,1.201984,2.423181,0.83622
99,breakout-example-099.png,short,bear_followthrough,2026-02-15 17:45,2026-02-15 20:45,3.156361,0.238019,45.992127,0.885691
100,breakout-example-100.png,long,bull_followthrough,2026-02-23 09:35,2026-02-23 12:35,2.93576,0.509947,57.365072,0.824218
