example_no,example_file,side,signal_time,entry_time,exit_time,gross_r,net_pnl,holding_bars,selection_score
1,wedge-example-001.png,long,2022-01-21 18:10,2022-01-21 18:10,2022-01-21 18:20,-1.0,-146.463418,2,4.596466
2,wedge-example-002.png,short,2022-01-24 19:15,2022-01-24 19:15,2022-01-24 20:30,-1.0,-239.860809,15,5.23664
3,wedge-example-003.png,short,2022-02-25 23:45,2022-02-25 23:45,2022-02-26 00:35,-1.0,-289.600561,10,4.542609
4,wedge-example-004.png,short,2022-03-01 14:30,2022-03-01 14:30,2022-03-01 17:50,0.769244,141.847898,40,4.438423
5,wedge-example-005.png,long,2022-03-09 19:45,2022-03-09 19:45,2022-03-09 23:05,-0.065531,-14.044026,40,4.951423
6,wedge-example-006.png,long,2022-03-13 21:25,2022-03-13 21:25,2022-03-13 22:45,-1.0,-64.422432,16,4.699236
7,wedge-example-007.png,short,2022-04-01 18:35,2022-04-01 18:35,2022-04-01 21:55,0.087331,4.081546,40,4.579888
8,wedge-example-008.png,long,2022-04-29 12:15,2022-04-29 12:15,2022-04-29 15:35,-0.288824,-35.292481,40,4.105378
9,wedge-example-009.png,short,2022-05-04 04:25,2022-05-04 04:25,2022-05-04 06:55,-1.0,-71.079097,30,4.649022
10,wedge-example-010.png,long,2022-05-14 00:10,2022-05-14 00:10,2022-05-14 03:30,0.334684,53.193023,40,5.34211
11,wedge-example-011.png,long,2022-06-20 02:05,2022-06-20 02:05,2022-06-20 02:25,-1.0,-237.077091,4,5.109033
12,wedge-example-012.png,long,2022-07-14 09:55,2022-07-14 09:55,2022-07-14 11:30,-1.0,-118.274833,19,5.605713
13,wedge-example-013.png,short,2022-07-15 20:35,2022-07-15 20:35,2022-07-15 23:55,0.628639,197.64873,40,5.814855
14,wedge-example-014.png,short,2022-08-05 12:30,2022-08-05 12:30,2022-08-05 15:50,0.523304,99.012985,40,4.41455
15,wedge-example-015.png,long,2022-08-08 22:55,2022-08-08 22:55,2022-08-09 02:15,-0.480416,-61.265471,40,4.85243
16,wedge-example-016.png,long,2022-10-03 00:20,2022-10-03 00:20,2022-10-03 03:40,0.506258,86.206229,40,4.672184
17,wedge-example-017.png,short,2022-10-04 05:00,2022-10-04 05:00,2022-10-04 06:30,-1.0,-86.46347,18,5.445582
18,wedge-example-018.png,short,2022-10-25 04:35,2022-10-25 04:35,2022-10-25 07:55,-0.278054,-18.878504,40,5.211691
19,wedge-example-019.png,long,2022-12-06 11:20,2022-12-06 11:20,2022-12-06 14:40,-0.204028,-26.327466,40,4.241822
20,wedge-example-020.png,long,2022-12-10 09:40,2022-12-10 09:40,2022-12-10 13:00,0.577077,18.870388,40,3.930844
21,wedge-example-021.png,short,2023-01-03 06:50,2023-01-03 06:50,2023-01-03 10:10,-0.072915,-6.138427,40,4.652343
22,wedge-example-022.png,long,2023-02-10 04:25,2023-02-10 04:25,2023-02-10 05:35,-1.0,-97.498016,14,4.928639
23,wedge-example-023.png,short,2023-03-21 14:20,2023-03-21 14:20,2023-03-21 17:40,0.369574,65.203027,40,5.589194
24,wedge-example-024.png,short,2023-04-01 02:30,2023-04-01 02:30,2023-04-01 05:50,0.153354,10.183428,40,4.852133
25,wedge-example-025.png,long,2023-04-23 16:25,2023-04-23 16:25,2023-04-23 18:45,-1.0,-93.930184,28,4.151998
26,wedge-example-026.png,long,2023-05-27 11:25,2023-05-27 11:25,2023-05-27 13:55,-1.0,-28.943251,30,4.312816
27,wedge-example-027.png,short,2023-06-03 11:35,2023-06-03 11:35,2023-06-03 14:55,1.090077,15.660313,40,4.913954
28,wedge-example-028.png,short,2023-06-30 23:00,2023-06-30 23:00,2023-06-30 23:30,-1.0,-53.715513,6,5.254335
29,wedge-example-029.png,long,2023-07-19 15:30,2023-07-19 15:30,2023-07-19 18:50,0.797045,38.348822,40,6.067045
30,wedge-example-030.png,short,2023-07-25 10:00,2023-07-25 10:00,2023-07-25 13:20,0.098192,0.746112,40,5.36783
31,wedge-example-031.png,long,2023-08-06 07:00,2023-08-06 07:00,2023-08-06 09:10,-1.0,-18.115045,26,5.270063
32,wedge-example-032.png,short,2023-08-12 08:15,2023-08-12 08:15,2023-08-12 11:00,-1.0,-14.26109,33,5.669863
33,wedge-example-033.png,long,2023-08-12 21:20,2023-08-12 21:20,2023-08-13 00:40,0.901688,5.633914,40,4.376392
34,wedge-example-034.png,long,2023-09-04 15:30,2023-09-04 15:30,2023-09-04 18:50,0.054666,0.416755,40,4.810266
35,wedge-example-035.png,short,2023-09-22 08:40,2023-09-22 08:40,2023-09-22 12:00,-0.289286,-18.173446,40,4.568027
36,wedge-example-036.png,long,2023-10-05 22:20,2023-10-05 22:20,2023-10-06 01:40,0.967374,31.478052,40,4.552026
37,wedge-example-037.png,short,2023-10-16 02:40,2023-10-16 02:40,2023-10-16 05:15,-1.0,-36.685975,31,4.894676
38,wedge-example-038.png,long,2023-10-23 10:15,2023-10-23 10:15,2023-10-23 13:35,-0.46269,-40.909297,40,4.62394
39,wedge-example-039.png,short,2023-11-04 09:55,2023-11-04 09:55,2023-11-04 13:15,0.104689,1.439269,40,4.653742
40,wedge-example-040.png,short,2023-12-03 02:25,2023-12-03 02:25,2023-12-03 05:45,0.645019,28.486012,40,4.428277
41,wedge-example-041.png,short,2023-12-14 23:45,2023-12-14 23:45,2023-12-15 03:05,1.460708,113.321966,40,5.325895
42,wedge-example-042.png,long,2023-12-19 15:25,2023-12-19 15:25,2023-12-19 16:55,-1.0,-125.723636,18,5.197416
43,wedge-example-043.png,short,2024-01-08 08:55,2024-01-08 08:55,2024-01-08 11:55,-1.0,-64.101171,36,3.837845
44,wedge-example-044.png,long,2024-01-26 08:10,2024-01-26 08:10,2024-01-26 10:40,1.8,103.05368,30,4.685348
45,wedge-example-045.png,long,2024-02-03 09:20,2024-02-03 09:20,2024-02-03 11:25,-1.0,-35.758649,25,5.206012
46,wedge-example-046.png,short,2024-02-09 03:25,2024-02-09 03:25,2024-02-09 06:45,-0.252796,-26.910903,40,5.411589
47,wedge-example-047.png,short,2024-03-08 07:50,2024-03-08 07:50,2024-03-08 08:35,-1.0,-93.975435,9,4.911014
48,wedge-example-048.png,long,2024-03-15 09:35,2024-03-15 09:35,2024-03-15 12:55,0.103602,31.30237,40,5.423684
49,wedge-example-049.png,long,2024-04-03 18:45,2024-04-03 18:45,2024-04-03 22:05,0.037941,0.338756,40,4.730138
50,wedge-example-050.png,short,2024-04-24 02:00,2024-04-24 02:00,2024-04-24 04:20,-1.0,-60.711803,28,4.40431
51,wedge-example-051.png,short,2024-05-07 09:50,2024-05-07 09:50,2024-05-07 11:40,2.260366,139.584027,22,4.559444
52,wedge-example-052.png,long,2024-06-08 00:25,2024-06-08 00:25,2024-06-08 03:45,0.26271,5.354112,40,4.561819
53,wedge-example-053.png,long,2024-06-10 08:15,2024-06-10 08:15,2024-06-10 11:35,0.289052,17.770975,40,4.942472
54,wedge-example-054.png,short,2024-06-15 23:45,2024-06-15 23:45,2024-06-16 03:05,0.724338,14.932611,40,4.82829
55,wedge-example-055.png,short,2024-07-05 12:30,2024-07-05 12:30,2024-07-05 15:30,-1.0,-243.614114,36,4.639445
56,wedge-example-056.png,short,2024-07-18 02:10,2024-07-18 02:10,2024-07-18 05:30,-0.086386,-11.09156,40,5.31895
57,wedge-example-057.png,long,2024-07-18 16:30,2024-07-18 16:30,2024-07-18 19:50,-0.062176,-12.041059,40,4.975869
58,wedge-example-058.png,short,2024-08-13 18:15,2024-08-13 18:15,2024-08-13 21:35,-0.747001,-88.11921,40,4.321737
59,wedge-example-059.png,long,2024-08-26 18:35,2024-08-26 18:35,2024-08-26 20:05,-1.0,-111.981642,18,4.68159
60,wedge-example-060.png,long,2024-09-04 00:15,2024-09-04 00:15,2024-09-04 00:55,-1.0,-171.743443,8,6.143666
61,wedge-example-061.png,short,2024-09-08 05:20,2024-09-08 05:20,2024-09-08 08:40,-0.274521,-21.16358,40,4.515425
62,wedge-example-062.png,short,2024-10-12 11:35,2024-10-12 11:35,2024-10-12 14:40,-1.0,-70.998044,37,4.868897
63,wedge-example-063.png,long,2024-10-15 04:35,2024-10-15 04:35,2024-10-15 05:25,-1.0,-52.584272,10,4.868365
64,wedge-example-064.png,short,2024-10-26 20:50,2024-10-26 20:50,2024-10-27 00:10,0.649945,41.465827,40,4.91928
65,wedge-example-065.png,long,2024-10-28 16:15,2024-10-28 16:15,2024-10-28 17:05,-1.0,-87.235016,10,4.590825
66,wedge-example-066.png,short,2024-11-22 05:00,2024-11-22 05:00,2024-11-22 08:20,0.057471,4.697237,40,5.27881
67,wedge-example-067.png,long,2024-11-22 11:30,2024-11-22 11:30,2024-11-22 13:15,-1.0,-101.849581,21,4.186848
68,wedge-example-068.png,long,2024-12-07 02:15,2024-12-07 02:15,2024-12-07 03:20,-1.0,-69.053066,13,4.105727
69,wedge-example-069.png,short,2024-12-09 15:10,2024-12-09 15:10,2024-12-09 15:40,1.8,234.027075,6,4.632942
70,wedge-example-070.png,long,2024-12-21 22:25,2024-12-21 22:25,2024-12-22 01:45,0.384893,43.856282,40,4.167225
71,wedge-example-071.png,short,2024-12-22 10:45,2024-12-22 10:45,2024-12-22 14:05,1.266645,79.507766,40,4.151842
72,wedge-example-072.png,long,2025-01-16 09:45,2025-01-16 09:45,2025-01-16 13:05,0.095239,6.173256,40,5.543073
73,wedge-example-073.png,short,2025-01-17 02:45,2025-01-17 02:45,2025-01-17 06:05,-0.302751,-40.336901,40,5.462736
74,wedge-example-074.png,long,2025-02-04 04:00,2025-02-04 04:00,2025-02-04 05:00,-1.0,-101.35273,12,4.2767
75,wedge-example-075.png,short,2025-02-19 03:15,2025-02-19 03:15,2025-02-19 06:35,-0.40006,-36.940137,40,4.512869
76,wedge-example-076.png,long,2025-03-29 17:30,2025-03-29 17:30,2025-03-29 20:50,-0.379032,-72.370808,40,4.547384
77,wedge-example-077.png,short,2025-04-05 10:15,2025-04-05 10:15,2025-04-05 11:30,1.933033,49.872298,15,4.272803
78,wedge-example-078.png,short,2025-04-28 12:10,2025-04-28 12:10,2025-04-28 15:05,1.8,190.156373,35,4.93782
79,wedge-example-079.png,long,2025-04-28 16:30,2025-04-28 16:30,2025-04-28 19:50,1.293567,171.657917,40,4.594445
80,wedge-example-080.png,long,2025-05-16 21:40,2025-05-16 21:40,2025-05-16 22:20,-1.0,-112.555672,8,4.341527
81,wedge-example-081.png,short,2025-06-04 16:25,2025-06-04 16:25,2025-06-04 19:45,0.631704,72.571636,40,5.061289
82,wedge-example-082.png,short,2025-06-20 08:40,2025-06-20 08:40,2025-06-20 12:00,-0.38205,-44.873624,40,4.962498
83,wedge-example-083.png,long,2025-07-04 08:25,2025-07-04 08:25,2025-07-04 11:45,0.446515,29.640805,40,4.626817
84,wedge-example-084.png,short,2025-07-08 07:10,2025-07-08 07:10,2025-07-08 10:30,-1.0,-48.84937,40,5.019667
85,wedge-example-085.png,long,2025-07-23 10:35,2025-07-23 10:35,2025-07-23 12:55,-1.0,-72.068376,28,4.555908
86,wedge-example-086.png,short,2025-07-26 22:25,2025-07-26 22:25,2025-07-27 01:45,-0.330015,-49.238584,40,4.63709
87,wedge-example-087.png,long,2025-08-19 15:25,2025-08-19 15:25,2025-08-19 16:35,-1.0,-148.146472,14,5.300268
88,wedge-example-088.png,long,2025-08-22 12:45,2025-08-22 12:45,2025-08-22 14:00,1.8,237.105951,15,4.911912
89,wedge-example-089.png,short,2025-09-09 07:40,2025-09-09 07:40,2025-09-09 11:00,0.097972,2.224534,40,5.278994
90,wedge-example-090.png,long,2025-09-23 03:20,2025-09-23 03:20,2025-09-23 06:40,0.977911,104.140312,40,5.560242
91,wedge-example-091.png,short,2025-09-27 22:45,2025-09-27 22:45,2025-09-28 02:05,0.867887,34.239373,40,5.344095
92,wedge-example-092.png,short,2025-10-21 16:50,2025-10-21 16:50,2025-10-21 20:10,1.802743,206.602878,40,5.114368
93,wedge-example-093.png,long,2025-11-04 21:55,2025-11-04 21:55,2025-11-05 01:15,-0.149463,-80.343646,40,4.070198
94,wedge-example-094.png,long,2025-11-25 09:40,2025-11-25 09:40,2025-11-25 13:00,1.507443,125.901275,40,4.654995
95,wedge-example-095.png,short,2025-12-18 11:00,2025-12-18 11:00,2025-12-18 12:30,-1.0,-43.541606,18,4.557496
96,wedge-example-096.png,short,2025-12-30 04:55,2025-12-30 04:55,2025-12-30 08:00,-1.0,-50.471764,37,5.808136
97,wedge-example-097.png,long,2026-01-05 07:00,2026-01-05 07:00,2026-01-05 10:20,0.600912,48.047688,40,4.809013
98,wedge-example-098.png,short,2026-01-27 17:10,2026-01-27 17:10,2026-01-27 20:15,-1.0,-142.847821,37,4.680753
99,wedge-example-099.png,long,2026-01-31 19:05,2026-01-31 19:05,2026-01-31 22:25,0.039186,30.479868,40,5.73282
100,wedge-example-100.png,long,2026-02-27 22:40,2026-02-27 22:40,2026-02-28 02:00,0.0919,13.440521,40,5.104361
